,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,aide,help
6,6,demande,request
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,bébé,baby
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,29,compris,understood
29,30,savais,knew
30,31,attention,Warning
31,32,pourrais,could
32,33,affaire,case
33,34,donner,give
34,35,type,type
35,36,leurs,their
36,37,donné,given
37,38,train,train
38,39,corps,body
39,40,endroit,place
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,vieux,old
51,52,tiens,here
52,53,matin,morning
53,54,tellement,so much
54,55,enfant,child
55,56,point,point
56,57,venu,came
57,58,suite,after
58,59,pardon,sorry
59,60,venez,come
60,61,devant,in front of
61,62,minutes,minutes
62,63,demandé,request
63,64,mis,placed
64,65,belle,beautiful
65,66,droit,law
66,67,aimerais,would like to
67,68,aujourd'hui,today
68,69,mari,husband
69,70,enfin,finally
70,71,eau,water
71,72,attendez,Wait
72,73,parti,left
73,74,nouvelle,new
74,75,boulot,job
75,76,arrêter,Stop
76,77,terre,Earth
77,78,compte,account
78,79,donne,given
79,80,loin,far
80,81,fin,end
81,82,croire,believe
82,83,chérie,sweetheart
83,84,gros,large
84,85,plutôt,rather
85,86,aura,will have
86,87,filles,girls
87,88,jouer,to play
88,89,bureau,office
